name,zip, Commissionable Orders, Negative Comments, Positive Comments,% Kill Rate,Avg Basket Size €,Avg Time to Accept (s)
Side Cafe-Pizzeria,8020,36.0,0.0,1.0,0.08,13.41,366.0
Sphinx Cafe & Restaurant,8020,0.0,0.0,0.0,0.0,0.0,0.0
Stella Pizzeria & Kebap House,8052,76.0,0.0,1.0,0.0,19.79,20.0
Streets,8020,0.0,0.0,0.0,0.0,0.0,0.0
Subway,8010,91.0,0.0,1.0,34.0,18.45,610.0
Subway,8020,181.0,1.0,1.0,74.0,18.31,506.0
Subway,8055,73.0,0.0,1.0,89.0,19.67,265.0
Sultan,8020,76.0,1.0,1.0,0.1,14.6,29.0
Sushi & Co,8010,151.0,0.0,1.0,93.0,27.51,459.0
Swing Kitchen,8010,1913.0,2.0,1.0,65.0,23.7,405.0
Sägewerk Klassik,8010,160.0,1.0,1.0,69.0,16.39,485.0
Sägewerk Sport,8010,106.0,1.0,1.0,67.0,16.62,389.0
Taj Mahal,8010,0.0,0.0,0.0,0.0,0.0,0.0
Taj Restaurant,8010,24.0,0.0,1.0,0.14,30.16,14.0
Tasty Donuts & Coffee,8010,20.0,0.0,1.0,65.0,13.94,575.0
Tasty Donuts & Coffee,8055,0.0,0.0,0.0,0.0,0.0,0.0
Than Thai Asia,8041,129.0,0.0,1.0,112.0,26.76,36.0
Than Thai Imbiss,8010,54.0,1.0,1.0,47.0,20.89,464.0
The Churchill Bar,8010,0.0,0.0,0.0,0.0,0.0,0.0
The Perfect Bite,8020,76.0,0.0,1.0,111.0,22.42,63.0
Tick-Tack,8010,122.0,0.0,1.0,23.0,19.9,347.0
Tonkin,8010,3.0,0.0,0.0,0.0,43.1,292.0
Torino Pizza Kebap Burger,8010,35.0,0.0,1.0,53.0,10.51,550.0
Toscana,8054,202.0,1.0,1.0,68.0,14.77,18.0
Trattoria Sole,8010,0.0,0.0,0.0,0.0,0.0,0.0
Trattoria Veneziana,8041,0.0,0.0,0.0,0.0,0.0,0.0
Tutto Bene,8020,0.0,0.0,0.0,0.0,0.0,0.0
Ucco's,8010,0.0,0.0,0.0,0.0,0.0,0.0
Ugarit -Mediterranes Restaurant,8020,0.0,0.0,0.0,0.0,0.0,0.0
Uhrturmbäckerei,8010,0.0,0.0,0.0,0.0,0.0,0.0
Uni Pizza,8054,35.0,0.0,1.0,77.0,19.56,40.0
Unica,8010,6.0,0.0,0.0,0.0,0.0,0.0
Unterm Goldenen Dachl,8010,0.0,0.0,0.0,0.0,0.0,0.0
Vapiano,8010,267.0,3.0,1.0,142.0,27.52,454.0
Veggie+,8020,102.0,0.0,1.0,72.0,16.6,341.0
Venezia Star,8020,8.0,0.0,1.0,64.0,16.09,334.0
WILDING - FETT ESSEN,8010,494.0,2.0,1.0,44.0,17.95,524.0
Waltendorfer Kebab-Pizza,8010,268.0,0.0,1.0,62.0,16.75,21.0
Wiener & Co,8052,319.0,1.0,1.0,58.0,24.27,21.0
Wilding im Hof - FETT ESSEN,8010,358.0,0.0,1.0,55.0,17.24,466.0
Wing it! - Innere Stadt,8010,102.0,0.0,1.0,0.0,0.0,0.0
Wing it! - Lend,8051,0.0,0.0,0.0,0.0,0.0,0.0
Wir:zhaus,8020,0.0,0.0,0.0,0.0,0.0,0.0
X&D Wok,8020,64.0,0.0,1.0,68.0,19.98,513.0
Xpress,8020,410.0,0.0,1.0,44.0,24.18,18.0
YA HABIBI - marokkanische Küche,8010,0.0,0.0,0.0,0.0,0.0,0.0
Yamamoto,8010,0.0,0.0,0.0,0.0,0.0,0.0
Yamauchi,8020,0.0,0.0,0.0,0.0,0.0,0.0
Yasna Panda Box,8053,0.0,0.0,0.0,0.0,0.0,0.0
Yong Ramen,8010,0.0,0.0,0.0,101.0,0.0,0.0
Zimt- Persisches Restaurant,8010,21.0,0.0,0.0,0.0,0.0,0.0
Zu den 3 goldenen Kugeln,8010,364.0,3.0,2.0,48.0,26.76,417.0
Zu den 3 goldenen Kugeln,8020,146.0,0.0,2.0,92.0,51.96,1045.0
Zu den 3 goldenen Kugeln,8041,10.0,0.0,1.0,125.0,28.3,877.0
Zu den 3 goldenen Kugeln,8055,18.0,0.0,0.0,178.0,0.0,0.0
Zur Steirerstub'n,8020,42.0,0.0,1.0,135.0,24.26,243.0
Zushi Market,8055,0.0,0.0,0.0,0.0,0.0,0.0
bp - MERKUR inside,8010,175.0,1.0,1.0,0.0,22.78,626.0
bp - MERKUR inside,8055,0.0,0.0,0.0,0.0,0.0,0.0
dean & david Wels,8010,752.0,0.0,1.0,82.0,26.1,19.0
my Kentt Pizza & Kebap,8054,201.0,2.0,1.0,93.0,19.56,13.0
taste&soul - powered by eatclever,8010,4.0,0.0,0.0,0.0,0.0,0.0
the italian,8020,131.0,0.0,1.0,0.0,22.15,433.0
Östa Konditorei und Cafe,8020,0.0,0.0,0.0,0.0,0.0,0.0
