name,zip,kpi,month_1,month_2,delivery_service,orders
Café Pizzeria Rimini,8020, Commissionable Orders,54.0,29.0,deliverando,83.0
PEP Deli vom Land,8020, Commissionable Orders,17.0,13.0,deliverando,30.0
bp - MERKUR inside,8010, Commissionable Orders,86.0,175.0,deliverando,261.0
Big Joe Falafel,8010, Commissionable Orders,0.0,110.0,deliverando,110.0
Bellys,8020, Commissionable Orders,0.0,15.0,deliverando,15.0
Cheesus Burger,8042, Commissionable Orders,157.0,481.0,deliverando,638.0
Landhaus Ruckerlberg,8010, Commissionable Orders,2.0,17.0,deliverando,19.0
Jackson's Fried Chicken - Gries,8020, Commissionable Orders,0.0,454.0,deliverando,454.0
Cafe Mitte,8010, Commissionable Orders,0.0,175.0,deliverando,175.0
Stella Pizzeria & Kebap House,8052, Commissionable Orders,7.0,76.0,deliverando,83.0
Café Phönix,8010, Commissionable Orders,0.0,3.0,deliverando,3.0
Kabashis,8054, Commissionable Orders,0.0,39.0,deliverando,39.0
Wing it! - Innere Stadt,8010, Commissionable Orders,0.0,102.0,deliverando,102.0
taste&soul - powered by eatclever,8010, Commissionable Orders,0.0,4.0,deliverando,4.0
Mi Casa-Lateinamerikanisches Restaurant,8020, Commissionable Orders,0.0,80.0,deliverando,80.0
Unica,8010, Commissionable Orders,0.0,6.0,deliverando,6.0
Shell - Shop und Bistro,8020, Commissionable Orders,0.0,21.0,deliverando,21.0
NORDSEE - SC Seiersberg,8055, Commissionable Orders,0.0,7.0,deliverando,7.0
Zimt- Persisches Restaurant,8010, Commissionable Orders,0.0,21.0,deliverando,21.0
Pastaria,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Noodle King,8055, Commissionable Orders,0.0,0.0,deliverando,0.0
Trattoria Sole,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Empanada Story,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Jackson's Fried Chicken - Geidorf,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Wing it! - Lend,8051, Commissionable Orders,0.0,0.0,deliverando,0.0
Holy Chicken- Heavenly Fried Chicken,8045, Commissionable Orders,0.0,0.0,deliverando,0.0
Gangnam Kitchen - Korean Fried Chicken,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Yasna Panda Box,8053, Commissionable Orders,0.0,0.0,deliverando,0.0
Taj Mahal,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Pizzeria Verona Linz,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Cohibar,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Die Eisperle,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Die Eisperle,8055, Commissionable Orders,0.0,0.0,deliverando,0.0
Score Eggenberg,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Restaurant Fino,8045, Commissionable Orders,0.0,0.0,deliverando,0.0
Knödel Butler,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Sphinx Cafe & Restaurant,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Best Food Grill 8,8045, Commissionable Orders,0.0,0.0,deliverando,0.0
Fresh Bowl,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
